epoch accuracy testloss trainloss
1 45.63 0.01519 0.01323
2 61.64 0.01110 0.00938
3 64.13 0.01038 0.00746
4 71.25 0.00845 0.00636
5 71.94 0.00863 0.00537
6 77.22 0.00655 0.00476
7 76.50 0.00703 0.00441
8 80.13 0.00600 0.00421
9 81.93 0.00547 0.00402
10 81.43 0.00571 0.00388
11 78.48 0.00666 0.00376
12 79.97 0.00598 0.00367
13 79.81 0.00610 0.00356
14 82.85 0.00508 0.00356
15 81.38 0.00547 0.00345
16 82.86 0.00497 0.00343
17 85.86 0.00430 0.00338
18 80.92 0.00578 0.00332
19 78.39 0.00653 0.00328
20 80.10 0.00608 0.00322
21 80.17 0.00612 0.00324
22 81.11 0.00588 0.00321
23 82.77 0.00522 0.00316
24 85.76 0.00428 0.00315
25 80.50 0.00596 0.00311
26 82.74 0.00501 0.00308
27 81.99 0.00561 0.00306
28 85.26 0.00441 0.00302
29 82.49 0.00536 0.00305
30 84.75 0.00454 0.00299
31 79.49 0.00658 0.00298
32 79.41 0.00660 0.00299
33 85.77 0.00421 0.00294
34 85.89 0.00424 0.00297
35 87.07 0.00382 0.00297
36 84.85 0.00450 0.00293
37 81.31 0.00567 0.00292
38 83.51 0.00492 0.00293
39 83.75 0.00487 0.00292
40 82.48 0.00528 0.00288
41 83.32 0.00498 0.00286
42 79.83 0.00626 0.00288
43 84.47 0.00455 0.00284
44 83.81 0.00482 0.00291
45 84.48 0.00444 0.00282
46 83.98 0.00481 0.00282
47 83.72 0.00470 0.00286
48 82.52 0.00533 0.00281
49 87.57 0.00365 0.00284
50 87.98 0.00360 0.00281
51 82.40 0.00552 0.00284
52 84.18 0.00482 0.00280
53 84.56 0.00475 0.00281
54 83.00 0.00491 0.00283
55 84.37 0.00476 0.00279
56 84.12 0.00486 0.00281
57 80.31 0.00597 0.00281
58 82.83 0.00532 0.00282
59 84.97 0.00450 0.00281
60 84.46 0.00474 0.00280
61 85.79 0.00422 0.00280
62 84.22 0.00469 0.00278
63 85.29 0.00450 0.00277
64 86.22 0.00417 0.00279
65 84.54 0.00461 0.00276
66 87.11 0.00382 0.00277
67 81.49 0.00596 0.00279
68 83.10 0.00520 0.00272
69 82.16 0.00549 0.00275
