epoch accuracy testloss trainloss
1 13.14 0.02243 0.01951
2 19.90 0.02017 0.01689
3 28.21 0.01780 0.01466
4 36.48 0.01663 0.01329
5 48.39 0.01421 0.01146
6 52.54 0.01462 0.00983
7 57.90 0.01337 0.00834
8 64.54 0.01057 0.00735
9 68.99 0.00935 0.00676
10 67.55 0.00947 0.00638
11 71.82 0.00843 0.00599
12 68.09 0.01010 0.00578
13 73.56 0.00818 0.00557
14 77.20 0.00713 0.00538
15 73.51 0.00820 0.00529
16 69.59 0.00948 0.00509
17 77.33 0.00695 0.00499
18 71.05 0.00926 0.00485
19 74.98 0.00794 0.00475
20 77.99 0.00682 0.00472
21 72.75 0.00892 0.00464
22 70.65 0.00918 0.00461
23 75.61 0.00753 0.00458
24 82.83 0.00527 0.00441
25 78.45 0.00657 0.00443
26 79.87 0.00611 0.00435
27 70.25 0.00997 0.00435
28 79.47 0.00632 0.00431
29 76.61 0.00706 0.00430
30 81.27 0.00579 0.00422
31 81.39 0.00569 0.00421
32 82.80 0.00513 0.00418
33 80.78 0.00599 0.00417
34 71.97 0.00852 0.00416
35 79.25 0.00658 0.00409
36 79.08 0.00670 0.00408
37 80.06 0.00642 0.00408
38 72.60 0.00896 0.00399
39 82.26 0.00539 0.00396
40 77.94 0.00659 0.00403
41 79.32 0.00630 0.00396
42 82.68 0.00528 0.00398
43 82.74 0.00508 0.00391
44 77.89 0.00706 0.00399
45 78.30 0.00669 0.00391
46 79.35 0.00637 0.00385
47 83.01 0.00497 0.00389
48 79.21 0.00656 0.00390
49 71.37 0.00938 0.00384
50 79.61 0.00623 0.00391
51 83.02 0.00516 0.00385
52 75.91 0.00768 0.00390
53 81.24 0.00577 0.00388
54 77.25 0.00746 0.00382
55 78.27 0.00721 0.00381
56 82.68 0.00522 0.00385
57 79.96 0.00599 0.00377
58 81.22 0.00595 0.00381
59 83.80 0.00486 0.00383
60 79.80 0.00621 0.00375
61 80.51 0.00620 0.00379
62 79.59 0.00609 0.00375
63 78.30 0.00678 0.00379
64 78.63 0.00668 0.00379
65 67.23 0.01175 0.00370
66 81.01 0.00591 0.00372
67 79.26 0.00653 0.00372
68 72.35 0.00916 0.00372
69 82.55 0.00528 0.00379
70 80.46 0.00598 0.00369
71 78.65 0.00661 0.00369
72 81.26 0.00558 0.00367
73 79.80 0.00631 0.00367
74 77.20 0.00747 0.00379
75 80.76 0.00596 0.00373
76 78.68 0.00658 0.00368
77 76.87 0.00764 0.00366
78 75.02 0.00765 0.00367
79 82.48 0.00526 0.00371
80 83.31 0.00502 0.00363
81 81.52 0.00545 0.00365
82 78.75 0.00662 0.00367
83 76.45 0.00764 0.00368
84 84.05 0.00492 0.00366
85 81.14 0.00571 0.00362
86 78.01 0.00680 0.00365
87 83.99 0.00493 0.00361
88 83.39 0.00508 0.00366
89 82.50 0.00546 0.00363
90 81.31 0.00562 0.00364
91 81.05 0.00606 0.00361
92 83.42 0.00492 0.00357
93 81.96 0.00547 0.00368
94 81.05 0.00594 0.00358
95 81.25 0.00599 0.00361
96 83.75 0.00484 0.00357
97 81.95 0.00566 0.00361
98 82.33 0.00535 0.00362
99 80.19 0.00610 0.00354
100 81.24 0.00575 0.00366
101 91.24 0.00260 0.00208
102 91.95 0.00240 0.00168
103 92.01 0.00238 0.00151
104 92.04 0.00233 0.00141
105 92.31 0.00232 0.00130
106 92.22 0.00229 0.00123
107 92.37 0.00231 0.00115
108 92.49 0.00229 0.00115
109 92.29 0.00241 0.00105
110 92.34 0.00237 0.00103
111 92.58 0.00230 0.00099
112 92.21 0.00250 0.00094
113 92.46 0.00253 0.00095
114 91.95 0.00253 0.00093
115 92.32 0.00247 0.00088
116 91.70 0.00273 0.00085
117 92.66 0.00240 0.00088
118 92.06 0.00264 0.00083
119 91.69 0.00267 0.00085
120 92.20 0.00257 0.00084
121 92.35 0.00246 0.00078
122 92.18 0.00262 0.00083
123 92.30 0.00257 0.00082
124 92.26 0.00252 0.00081
125 90.92 0.00301 0.00083
126 91.39 0.00283 0.00082
127 91.32 0.00293 0.00084
128 91.63 0.00281 0.00081
129 91.97 0.00278 0.00084
130 91.12 0.00301 0.00079
131 91.00 0.00294 0.00085
132 91.05 0.00313 0.00080
133 91.92 0.00273 0.00076
134 90.58 0.00312 0.00085
135 90.09 0.00331 0.00083
136 91.21 0.00293 0.00082
