epoch accuracy testloss trainloss
1 45.51 0.01564 0.01293
2 57.02 0.01399 0.00917
3 55.06 0.01564 0.00772
4 61.46 0.01265 0.00689
5 54.19 0.01962 0.00613
6 68.35 0.01077 0.00559
7 72.80 0.00861 0.00524
8 66.74 0.01233 0.00490
9 72.57 0.00911 0.00470
10 74.53 0.00829 0.00454
11 79.26 0.00652 0.00440
12 78.70 0.00712 0.00426
13 80.36 0.00606 0.00414
14 79.38 0.00691 0.00407
15 78.80 0.00686 0.00396
16 82.15 0.00574 0.00387
17 80.64 0.00636 0.00384
18 81.53 0.00605 0.00376
19 83.20 0.00525 0.00365
20 82.22 0.00602 0.00363
21 83.94 0.00495 0.00364
22 80.01 0.00659 0.00352
23 83.27 0.00504 0.00351
24 81.29 0.00602 0.00341
25 81.95 0.00578 0.00341
26 81.34 0.00620 0.00339
27 84.59 0.00480 0.00337
28 77.68 0.00750 0.00334
29 82.75 0.00544 0.00334
30 84.29 0.00487 0.00328
31 85.85 0.00442 0.00333
32 84.56 0.00494 0.00324
33 81.58 0.00604 0.00326
34 81.94 0.00585 0.00322
35 84.36 0.00512 0.00325
36 81.11 0.00643 0.00320
37 81.41 0.00600 0.00316
38 85.04 0.00474 0.00319
39 78.84 0.00752 0.00316
40 84.10 0.00529 0.00316
41 85.47 0.00450 0.00311
42 83.55 0.00550 0.00315
43 83.78 0.00541 0.00305
44 81.22 0.00621 0.00317
45 86.52 0.00406 0.00307
46 83.54 0.00523 0.00306
47 82.95 0.00551 0.00304
48 85.46 0.00464 0.00302
49 83.09 0.00538 0.00310
50 84.90 0.00483 0.00301
51 82.81 0.00575 0.00301
52 81.68 0.00636 0.00303
53 81.57 0.00589 0.00300
54 82.21 0.00611 0.00300
55 83.13 0.00562 0.00303
56 84.50 0.00488 0.00300
57 85.31 0.00485 0.00304
58 84.29 0.00500 0.00303
59 85.35 0.00481 0.00300
60 84.02 0.00485 0.00302
61 83.68 0.00547 0.00303
62 83.92 0.00524 0.00299
63 80.07 0.00700 0.00296
64 84.72 0.00492 0.00299
65 83.67 0.00527 0.00297
66 83.39 0.00532 0.00294
67 85.81 0.00445 0.00296
68 81.70 0.00595 0.00298
69 85.62 0.00442 0.00299
70 86.07 0.00432 0.00295
71 86.06 0.00428 0.00299
72 81.83 0.00595 0.00295
73 84.43 0.00493 0.00298
74 86.11 0.00466 0.00294
75 86.66 0.00418 0.00292
76 82.74 0.00594 0.00299
77 86.63 0.00422 0.00294
78 86.24 0.00417 0.00296
79 84.74 0.00463 0.00290
80 85.38 0.00444 0.00293
81 85.45 0.00453 0.00291
82 81.54 0.00652 0.00293
83 79.94 0.00704 0.00295
84 85.93 0.00463 0.00294
85 85.64 0.00438 0.00293
86 83.21 0.00555 0.00292
87 82.96 0.00564 0.00292
88 81.79 0.00598 0.00297
89 80.50 0.00712 0.00289
90 83.52 0.00528 0.00294
91 83.38 0.00592 0.00289
92 85.33 0.00489 0.00290
93 84.25 0.00519 0.00292
94 84.07 0.00532 0.00288
95 87.47 0.00395 0.00293
96 85.68 0.00444 0.00290
97 82.43 0.00577 0.00293
98 85.07 0.00482 0.00292
99 83.65 0.00525 0.00289
100 80.82 0.00663 0.00293
101 93.68 0.00199 0.00162
102 93.76 0.00196 0.00118
103 93.83 0.00199 0.00105
104 93.84 0.00192 0.00092
105 94.01 0.00191 0.00086
106 94.30 0.00182 0.00080
107 94.30 0.00183 0.00073
108 93.97 0.00206 0.00070
109 94.05 0.00207 0.00064
110 94.22 0.00196 0.00062
111 94.38 0.00192 0.00057
112 94.00 0.00212 0.00058
113 94.13 0.00210 0.00054
114 93.75 0.00221 0.00053
115 94.13 0.00207 0.00049
116 93.53 0.00241 0.00051
117 94.07 0.00212 0.00047
118 93.79 0.00249 0.00047
119 94.09 0.00217 0.00045
120 93.85 0.00234 0.00048
121 93.71 0.00234 0.00047
122 93.48 0.00248 0.00044
123 93.45 0.00254 0.00047
124 93.75 0.00248 0.00043
125 93.42 0.00261 0.00043
126 93.38 0.00261 0.00046
127 93.96 0.00227 0.00046
128 93.50 0.00256 0.00045
129 93.54 0.00264 0.00043
130 93.21 0.00291 0.00044
131 93.39 0.00252 0.00048
132 93.02 0.00268 0.00048
133 92.81 0.00286 0.00047
134 93.35 0.00271 0.00045
135 92.61 0.00299 0.00047
136 93.17 0.00281 0.00048
137 92.84 0.00283 0.00051
138 91.81 0.00349 0.00048
139 93.82 0.00250 0.00049
140 93.46 0.00262 0.00051
141 92.95 0.00271 0.00049
142 93.21 0.00271 0.00048
143 93.14 0.00276 0.00049
144 93.05 0.00276 0.00046
145 93.90 0.00243 0.00049
146 92.06 0.00337 0.00047
147 93.35 0.00245 0.00050
148 93.32 0.00259 0.00050
149 92.83 0.00276 0.00047
150 93.50 0.00258 0.00049
151 94.67 0.00210 0.00024
152 94.83 0.00209 0.00016
153 95.07 0.00201 0.00013
154 94.89 0.00213 0.00011
155 95.03 0.00204 0.00011
